Categoría,Nombre,Cantidad,Suma de Precio Inicio(€),Suma de Precio Oferta(€),Cantidad del precio,Supermercado,Fecha
Agua_sin_gas,Agua mineral pequeña Aguadoy,6 botellas x 500 ml,1.32,,pack,Mercadona,2024-03-11 00:00:00
Agua_sin_gas,Agua mineral pequeña Aguadoy,Botella 500 ml,0.22,,ud.,Mercadona,2024-03-11 00:00:00
Agua_sin_gas,Agua mineral pequeña Aguadoy tapón infantil,6 botellas x 330 ml,1.44,,pack,Mercadona,2024-03-11 00:00:00
Agua_sin_gas,Agua mineral pequeña Aguadoy tapón infantil,Botella 330 ml,0.24,,ud.,Mercadona,2024-03-11 00:00:00
Agua_sin_gas,Agua mineral pequeña Fuente Dehesa,6 botellas x 500 ml,1.62,,pack,Mercadona,2024-03-11 00:00:00
Agua_sin_gas,Agua mineral pequeña Fuente Dehesa,Botella 500 ml,0.27,,ud.,Mercadona,2024-03-11 00:00:00
Agua_sin_gas,Agua mineral pequeña Fuente Dehesa tapón infantil,6 botellas x 330 ml,2.28,,pack,Mercadona,2024-03-11 00:00:00
Agua_sin_gas,Agua mineral pequeña Fuente Dehesa tapón infantil,Botella 330 ml,0.38,,ud.,Mercadona,2024-03-11 00:00:00
Fruta_tropical,Aguacate,Pieza 254 g aprox.,1.33,,ud.,Mercadona,2024-03-11 00:00:00
Fruta_tropical,Aguacates,550 g aprox.,2.69,,pack,Mercadona,2024-03-11 00:00:00
Cebolla_y_ajo,Ajo negro dientes pelados,Tarrina 85 g,4.45,,ud.,Mercadona,2024-03-11 00:00:00
Cebolla_y_ajo,Ajo tierno,Manojo 200 g,2.35,,ud.,Mercadona,2024-03-11 00:00:00
Cebolla_y_ajo,Ajos morados,Malla 250 g,1.55,,ud.,Mercadona,2024-03-11 00:00:00
Cebolla_y_ajo,Ajos morados,Malla 400 g,2.1,,ud.,Mercadona,2024-03-11 00:00:00
Hierbas_aromaticas,Albahaca,Bandeja 20 g,1.5,,ud.,Mercadona,2024-03-11 00:00:00
Otras_verduras_y_hortalizas,Alcachofa,Pieza 150 g aprox.,0.4,,ud.,Mercadona,2024-03-11 00:00:00
